都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Postal code
郵便番号","Address
住所","Homepage
ホームページ","Comments
コメント"
全国,All of Japan,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,-,-,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
北海道,Hokkaido,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,060-8588,札幌市中央区北3条西6丁目,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
青森県,Aomori,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,030-0962,青森市佃二丁目19-13,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
岩手県,Iwate,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,020-0023,岩手県盛岡市内丸10-1,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
宮城県,Miyagi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,980-8570,宮城県仙台市青葉区本町3丁目8番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
秋田県,Akita,秋田県外国人向けコールセンター,Prefectural Consultation Service,018-884-7050,"English, Chinese, Korean","Thursday, 13:00-15:00",,,https://www.pref.akita.lg.jp/uploads/public/archive_0000047169_00/03_%E8%8B%B1%E8%AA%9E%E3%80%90%E7%A7%8B%E7%94%B0%E7%9C%8C%E7%89%88%E3%80%91.pdf,
秋田県,Akita,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,010-8570,秋田県秋田市山王四丁目1番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
山形県,Yamagata,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,990-8570,山形市松波二丁目8-1,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
福島県,Fukushima,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,960-8670,福島県福島市杉妻町2-16,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
東京都,Tokyo,The COVID-19 外国語専用Call Center,Prefectural Consultation Service,0570-550-571,"Japanese, English, Chinese, Korean",Every day 9:00-21:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.metro.tokyo.lg.jp/english/topics/2020/0128_00.html,
東京都,Tokyo,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
茨城県,Ibaraki,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,310-8555,水戸市笠原町978番6,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
栃木県,Tochigi,栃木県に住む外国人のための新型コロナウィルス相談ホットライン,Prefectural Consultation Service,028-678-8282,"English, Chinese, Vietnamese, Tagalog, Portuguese, Spanish, Nepali, Thai, Sinhala, Tamil, Indonesia",Every day 24 hours,320-8501,宇都宮市塙田1-1-20,http://tia21.or.jp/hello.html,
栃木県,Tochigi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,,,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
群馬県,Gunma,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,371-8570,前橋市大手町1-1-1,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
埼玉県,Saitama,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,330-9588,さいたま市浦和区常盤六丁目4番4号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
千葉県,Chiba,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,260-8722,千葉市中央区千葉港2番1号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
神奈川県,Kanagawa,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,231-0017,横浜市中区港町1丁目1番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
新潟県,Niigata,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,950-0914,新潟市中央区紫竹山3丁目3番11号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
富山県,Toyama,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,939-8588,富山県富山市蜷川459-1,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
石川県,Ishikawa,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,920-8580,石川県金沢市鞍月1丁目1番地,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
福井県,Fukui,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,918-8004,福井県福井市西木田2丁目8-8,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
山梨県,Yamanashi,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,400-8501,山梨県甲府市丸の内1-6-1,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
長野県,Nagano,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,380-8570,長野県長野市大字南長野字幅下692-2,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
岐阜県,Gifu,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,504-0838,各務原市那加不動丘1-1,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
静岡県,Shizuoka,訪日外国人旅行者向けコールセンター,Multilingual Tourist Hotline,050-3816-2787,"English, Chinese, Korean, Japanese",Every day 24 hours,420-8601,静岡県静岡市葵区追手町9番6号,https://www.mlit.go.jp/kankocho/content/001327108.pdf,
