都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Postal code
郵便番号","Address
住所","Homepage
ホームページ","Comments
コメント"
新潟県,Niigata,新潟市保健所,Niigata Shi Hokenjo,025-212-8194,Japanese,"Weekdays 8:30-17:15
Weekends, Holidays 9:00-17:00",950-0914,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,新潟市保健所,Niigata Shi Hokenjo,025-285-5511,Japanese,Emergencies only after hours,950-0915,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,村上保健所,Murakami Hokenjo,0254-53-8368,Japanese,"Weekdays 8:30-17:15
Weekends, Holidays 9:00-17:00",950-0916,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,村上保健所,Murakami Hokenjo,0254-52-7923,Japanese,Emergencies only after hours,950-0917,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,新発田保健所,Shibata Hokenjo,0254-26-9651,Japanese,"Weekdays 8:30-17:15
Weekends, Holidays 9:00-17:00",950-0918,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,新発田保健所,Shibata Hokenjo,0254-26-9651,Japanese,Emergencies only after hours,950-0919,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,新津保健所,Niitsu Hokenjo,0250-22-5174,Japanese,"Weekdays 8:30-17:15
Weekends, Holidays 9:00-17:00",950-0920,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,新津保健所,Niitsu Hokenjo,0250-24-7112,Japanese,Emergencies only after hours,950-0921,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,三条保健所,Sanjou Hokenjo,0256-36-2362,Japanese,"Weekdays 8:30-17:15
Weekends, Holidays 9:00-17:00",950-0922,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
新潟県,Niigata,三条保健所,Sanjou Hokenjo,0256-36-2330,,Emergencies only after hours,950-0923,新潟市中央区紫竹山3丁目3番11号,https://www.pref.niigata.lg.jp/sec/kenko/corona-center.html,
