都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Postal code
郵便番号","Address
住所","Homepage
ホームページ","Comments
コメント"
三重県,Mie,桑名保健所,Kuwana Hokenjo,0594-24-3625,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,鈴鹿保健所,Suzuka Hokenjo,059-382-8672,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,津保健所,Tsu Hokenjo,059-223-5184,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,松阪保健所,Matsusaka Hokenjo,0598-50-0531,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,伊勢保健所,Ise Hokenjo,0596-27-5137,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,伊賀保健所,Iga Hokenjo,0595-24-8070,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,尾鷲保健所,Owase Hokenjo,0597-23-3428,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,熊野保健所,Kumano Hokenjo,0597-89-6115,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,四日市市保健所,Yokkaichi Shi Hokenjo,059-352-0594,Japanese,Every day 9:00-21:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
三重県,Mie,三重県救急医療情報センター,Mie Ken Kyuukyuu Iryou Jouhou Senta-,059-229-1199,Japanese,Every day 21:00-9:00,514-8570,津市広明町13番地,http://www.pref.mie.lg.jp/YAKUMUS/HP/m0068000066.htm,
