都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Postal code
郵便番号","Address
住所","Homepage
ホームページ","Comments
コメント"
東京都,Tokyo,"都・特別区・八王子市・町田市 
合同電話相談センター",To ・ Tokubetsu Ku ・ Hachiouji Shi ・ Machida Shi Goudou Denwa Soudan Senta-,03-5320-4592,Japanese,"Weekdays 17:00-9:00
Weekends, Holidays 24 hours",163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,足立保健所,Adachi Hokenjo,03-3880-5747,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,荒川区保健所,Arakawa Ku Hokenjo,03-3802-4243,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,板橋区保健所,Itabashi Ku Hokenjo,03-6905-6367,Japanese,Weekdays 8:30-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,江戸川保健所,Edogawa Hokenjo,03-5661-1124,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,大田区保健所,Oota Ku Hokenjo,03-5744-1360,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,葛飾区保健所,Katsushika Ku Hokenjo,03-3602-1376,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,北区保健所,Kita Ku Hokenjo,03-3919-4500,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,江東区保健所,Koutou Ku Hokenjo,03-3647-5879,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,品川区保健所,Shinagawa Ku Hokenjo,03-5742-9105,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,渋谷区保健所,Shibuya Ku Hokenjo,03-3463-3650,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,新宿区保健所,Shinjuku Ku Hokenjo,03-5273-3836,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,杉並保健所,Suginami Hokenjo,03-3391-1299,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,墨田区保健所,Sumida Ku Hokenjo,03-5608-1443,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,世田谷保健所,Setagaya Hokenjo,03-5432-2910,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,台東保健所,Taitou Hokenjo,03-3847-9402,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,中央区保健所,Chuuou Ku Hokenjo,03-3541-5254,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,千代田保健所,Chiyoda Hokenjo,03-5211-8175,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,池袋保健所,Ikebukuro Hokenjo,03-3987-4179,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,中野区保健所,Nakano Ku Hokenjo,03-3382-6532,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,練馬区保健所,Nerima Ku Hokenjo,03-5984-4761,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,文京保健所,Bunkyou Hokenjo,03-5803-1824,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,みなと保健所,Minato Hokenjo,03-3455-4461,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,目黒区保健所,Meguro Ku Hokenjo,03-5722-9089,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,多摩立川保健所,Tama Tachikawa Hokenjo,042-524-5171,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,西多摩保健所,Nishitama Hokenjo,0428-22-6141,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,南多摩保健所,Minamitama Hokenjo,042-371-7661,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,多摩小平保健所,Tama Kodaira Hokenjo,042-450-3111,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,多摩府中保健所,Tama Fuchuu Hokenjo,042-362-2334,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,町田市保健所,Machida Shi Hokenjo,042-724-4238,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,八王子市保健所,Hachiouji Shi Hokenjo,042-645-5195,Japanese,Weekdays 8:30-17:15,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,八丈出張所,Hachijou Shucchousho,04996-2-1291,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,大島出張所,Ooshima Shucchousho,04992-2-1436,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,小笠原出張所,Ogasawara Shucchousho,04998-2-2951,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
東京都,Tokyo,三宅出張所,Miyake Shucchousho,04994-2-0181,Japanese,Weekdays 9:00-17:00,163-8001,東京都新宿区西新宿2丁目8番1号,https://www.fukushihoken.metro.tokyo.lg.jp/iryo/kansen/coronasodan.html,
茨城県,Ibaraki,茨城県庁内,Ibaraki Kenchou Nai,029-301-3200,Japanese,Every day 24 hours,310-8555,水戸市笠原町978番6,https://www.pref.ibaraki.jp/hokenfukushi/yobo/kiki/yobo/kansen/idwr/information/other/documents/20200130-corona.html,
茨城県,Ibaraki,中央保健所,Chuuou Hokenjo,029-241-0100,Japanese,Weekdays 9:00-17:00,310-0852,水戸市笠原町993-2,https://www.pref.ibaraki.jp/hokenfukushi/yobo/kiki/yobo/kansen/idwr/information/other/documents/20200130-corona.html,
