都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Postal code
郵便番号","Address
住所","Homepage
ホームページ","Comments
コメント"
福岡県,Fukuoka,筑紫保健福祉環境事務所,Tsukushi Hoken Fukushi Kankyou Jimusho,092-707-0524,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,粕屋保健福祉事務所,Kasuya Hoken Fukushi Jimusho,092-939-1746,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,糸島保健福祉事務所,Itoshima Hoken Fukushi Jimusho,092-322-5579,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,宗像・遠賀保健福祉環境事務所,Munakata ・Onga Hoken Fukushi Kankyou Jimusho,0940-36-6098,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,嘉穂・鞍手保健福祉環境事務所,Kaho ・Kurate Hoken Fukushi Kankyou Jimusho,0948-21-4972,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,田川保健福祉事務所,Tagawa Hoken Fukushi Jimusho,0947-42-9379,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,北筑後保健福祉環境事務所,Kita Chikugo Hoken Fukushi Kankyou Jimusho,0946-22-9886,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,南筑後保健福祉環境事務所,Minami Chikugo Hoken Fukushi Kankyou Jimusho,0944-68-5224,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,京築保健福祉環境事務所,Kyou Chiku Hoken Fukushi Kankyou Jimusho,0930-23-3935,Japanese,Weekdays 9:00-17:00,812-8577,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
福岡県,Fukuoka,"福岡県保健所夜間休日
 緊急連絡番号",Fukuoka ken Hokenjo Yakan Kyuujitsu Kinkyuu Renraku Bangou,092-471-0264,Japanese,"Weekdays 17:00-9:00
Weekends, Holidays",812-8578,福岡県福岡市博多区東公園7番7号,https://www.pref.fukuoka.lg.jp/contents/covid-19-portal.html,
