Menu,,Japanese,English
Home,Title(タイトル),新型コロナウィルス対策に役立つ情報,COVID-19 Hotlines in Japan
,Our goals,"新型コロナウイルス感染症 (COVID-19) の拡大に伴い、世界各地の人々が、 
不安な日々を送る状況に陥っています。
このような状況の中多くの情報が錯綜しており、
一般の方々から本当に重要な情報が把握しにくいといった声や、
外国人の方々から多言語の情報が不足しており不安と共に過ごしているという声を聞きました。

このような状況を鑑みて、 少しでも貢献できることがないか議論した結果、以下のプロジェクトを立ち上げることにしました。

・一般の方々向けに、COVID-19関連の信頼できる情報を集約し、日本語と英語の2言語で共有すること。
・窓口となっている全国全ての帰国者・接触者相談センターを調べ、地図に情報を落とし込むこと。


もしも、近くに、いざとなった時の行動がわからなくて困っている方、
情報が得られず困っている外国人の方がいたら、
ぜひこちらのウェブサイトを教えて頂けたら嬉しいです。

このような私たちの活動が、 少しでも日本にいる全ての方へ
社会貢献できることを切に願っております。",
,Disclaimer(免責事項),"当サイトの情報の正確性について
• 当サイトのコンテンツや情報において, 可能な限り正確な情報を掲載するよう努めていますが
 誤情報が入り込んだり, 情報が古くなったりすることもあります。
• 必ずしも正確性を保証するものではありません. また合法性や安全性なども保証しません。

損害等の責任について
• 当サイトに掲載された内容によって生じた損害等の一切の責任を負いかねますので, ご了承ください。
• また当サイトからリンクやバナーなどによって他のサイトに移動された場合, 移動先サイトで提供される情報, サービス等について一切の責任も負いません。
• 当サイトの保守、火災、停電、その他の自然災害, ウィルスや第三者の妨害等行為による不可抗力によって, 当サイトによるサービスが停止したことに起因して利用者に生じた損害についても, 何ら責任を負うものではありません。
• 当サイトを利用する場合は, 自己責任で行う必要があります。

画像の著作権や肖像権等について
• 当サイトで掲載している画像の著作権や肖像権等は, 各権利所有者に帰属します。 
• 万が一問題がある場合は, 問い合わせよりご連絡いただけますよう宜しくお願い致します。

無断転載の禁止について
• 当サイトに存在する, 文章や画像, 動画等の著作物の情報を商用目的で無断転載することは禁止します。 
• 当サイトはリンクフリーですが、リンクを行った場合は、問い合わせ先までリンク元のURLをご連絡ください。",
About Us,Name,土谷ちひろ,Chihiro Tsuchiya
,Affiliation,京都大学アジアアフリカ研究研究科 博士課程在籍,"PhD Candidate of Graduate School of Asian African Area Studies, Kyoto University"
,Title,看護師、保健師、保健学修士,"Registerd Nurse, Pablic Health Nurse, and Master of Health Science"
,Speciality,国際保健、オセアニア地域研究,"Global Health, Area Study in Oceania"
,Resarch Map URL,https://researchmap.jp/peacechyhi,https://researchmap.jp/peacechyhi
,Name,Your information?,
"Current Status
(現在の状況)",Explanation,厚生労働省データを使用した日本国内感染の状況,Current status using data by the ministry of health in Japan
,URL,https://toyokeizai.net/sp/visual/tko/covid19/,https://toyokeizai.net/sp/visual/tko/covid19/en.html
,Explanation,ジョンズ・ホプキンス大学が公開した世界の新型コロナウィルス感染状況,COVID-19 Global Cases by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University
,URL,https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
News (ニュース),Explanation,厚生労働省による最新情報が掲載されています。,"News from the Ministry of Health, Labour and Welfare, Japan"
,URL,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000164708_00001.html,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/newpage_00032.html
,Explanation,NHKが英語で日本や海外のニュースを発信しています。,NHK WORLD-JAPAN is the international service of Japan's public broadcaster NHK.
,URL,https://www3.nhk.or.jp/nhkworld/,https://www3.nhk.or.jp/nhkworld/
,Explanation,COVID-19 NEWS UPDATES by Japane Times,COVID-19 NEWS UPDATES by Japane Times
,URL,https://www.japantimes.co.jp/liveblogs/news/coronavirus-outbreak-updates/,https://www.japantimes.co.jp/liveblogs/news/coronavirus-outbreak-updates/
"Information of each prefecture
(各都道府県のページ)",Explanation,各都道府県の新型コロナウィルスに関するページです。,Information about COVID-19 from all prefectures in Japan
,URL,Sheet 9's information,Sheet 9's information
"Hotline in every prefectures 
(全国の帰国者・接触者相談センター)",Explanation,"【帰国者・接触者相談センター】
新型コロナウイルス感染症の感染が疑われる方、または次の症状がある方は、直接医療機関へ受診せず、事前に帰国者・接触者相談センターまでご相談ください。マップをクリックすると、各都道府県のセンターの情報が見られます。

•風邪の症状や37.5°C以上の発熱が4日以上続いている。
•強いだるさ(倦怠感)や息苦しさ(呼吸困難)がある。

※高齢者や基礎疾患等のある場合は、上の状態が2日程度続く場合。","【Hotline Center】
To those who suspect infection or exhibit the following symptoms, do not go directly to a medical facility and instead please contact the dedicated consultation service in each prefecture first. When you click the map, you can see the information about the center in your prefecture. 

•Cold-like symptoms, a fever of 37.5°C or above that has continued for 4 or more days.
•Extreme fatigue (physical weariness) and difficulty breathing (labored breath).

※Elderly people or those with previously underlying conditions should consult when they have had the above symptoms for 2 or more days."
"Advice to prevent infection
 (予防のための資料)",Explanation of the content,感染症対策のための啓発資料です。,They are the education materials to prevent infectious diseases.
,Explanation of URL,"厚生労働省が作成した、感染症対策のための啓発資料です。 
掲載の際は『出展:首相官邸HPより』を記載してください。","They are the materials by the Ministry of Health, Labour and Welfare, Japan."
,URL,https://www.kantei.go.jp/jp/content/000061234.pdf,https://www.mhlw.go.jp/content/10900000/000615287.pdf
,URL,https://www.mhlw.go.jp/content/10900000/000593493.pdf,https://www.mhlw.go.jp/content/10200000/000603614.pdf
,,https://www.pref.gunma.jp/contents/100150470.pdf,https://www.mhlw.go.jp/content/10900000/000607599.pdf
