都道府県,Prefecture,センター名,Center Name,"Phone number
電話番号","Supported Languages
対応言語","Open Hours
対応時間","Postal code
郵便番号","Address
住所","Homepage
ホームページ","Comments
コメント"
青森県,Aomori,青森市保健所,Aomori Shi Hokenjo,017-765-5280,Japanese,Weekdays 8:30-17:00,030-0962,青森市佃二丁目19-13,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,東地方保健所,Higashi Chihou Hokenjo,017-739-5421,Japanese,Weekdays 8:30-17:00,030-0963,青森市佃二丁目19-14,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,弘前保健所,Hirosaki Hokenjo,0172-33-8521,Japanese,Weekdays 8:30-17:00,030-0964,青森市佃二丁目19-15,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,三戸地方保健所,Sannohe Chihou Hokenjo,0178-27-5111,Japanese,Weekdays 8:30-17:00,030-0965,青森市佃二丁目19-16,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,五所川原保健所,Goshogawara Hokenjo,0173-34-2108,Japanese,Weekdays 8:30-17:00,030-0966,青森市佃二丁目19-17,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,上十三保健所,Kamitousann Hokenjo,0176-22-3510,Japanese,Weekdays 8:30-17:00,030-0967,青森市佃二丁目19-18,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,むつ保健所,Mutsu Hokenjo,0175-31-1891,Japanese,Weekdays 8:30-17:00,030-0968,青森市佃二丁目19-19,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
青森県,Aomori,八戸市保健所,Hachinohe Shi Hokenjo,0178-43-2291,Japanese,Weekdays 8:30-17:00,030-0969,青森市佃二丁目19-20,https://www.pref.aomori.lg.jp/welfare/health/wuhan-novel-coronavirus2020.html,
岩手県,Iwate,岩手県庁医療政策室,Iwate Kenchou Iryou Seisaku Shitsu,019-651-3175,Japanese,Every day 24 hours,020-0023,岩手県盛岡市内丸10-1,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
岩手県,Iwate,盛岡市保健所,Morioka Shi Hokenjo,019-603-8308,Japanese,Weekdays 9:00-17:00,020-0024,岩手県盛岡市内丸10-2,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
岩手県,Iwate,岩手県県央保健所,Iwate Ken Kenoh Hokenjo,019-629-6562,Japanese,Weekdays 9:00-17:00,020-0025,岩手県盛岡市内丸10-3,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
岩手県,Iwate,岩手県中部保健所,Iwate Ken Chuubu Hokenjo,0198-22-4952,Japanese,Weekdays 9:00-17:00,020-0026,岩手県盛岡市内丸10-4,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
岩手県,Iwate,岩手県奥州保健所,Iwate Ken Oushuu Hokenjo,0197-22-2831,Japanese,Weekdays 9:00-17:00,020-0027,岩手県盛岡市内丸10-5,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
岩手県,Iwate,岩手県一関保健所,Iwate Ken Ichinozeki Hokenjo,0191-26-1415,Japanese,Weekdays 9:00-17:00,020-0028,岩手県盛岡市内丸10-6,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
岩手県,Iwate,岩手県大船渡保健所,Iwate Ken Oofunato Hokenjo,0192-27-9922,Japanese,Weekdays 9:00-17:00,020-0029,岩手県盛岡市内丸10-7,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
岩手県,Iwate,岩手県釜石保健所,Iwate Ken Kamaishi Hokenjo,0193-25-2710,Japanese,Weekdays 9:00-17:00,020-0030,岩手県盛岡市内丸10-8,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
岩手県,Iwate,岩手県宮古保健所,Iwate Ken Miyako Hokenjo,0193-64-2218,Japanese,Weekdays 9:00-17:00,020-0031,岩手県盛岡市内丸10-9,https://www.pref.iwate.jp/kurashikankyou/iryou/kenkou/jouhou/1028020.html,
