Japanese,English
新型コロナウィルス対策に役立つ情報,Information to help fight COVID-19
全国,All of Japan
北海道,Hokkaido
青森県,Aomori
岩手県,Iwate
宮城県,Miyagi
秋田県,Akita
山形県,Yamagata
福島県,Fukushima
茨城県,Ibaraki
栃木県,Tochigi
群馬県,Gunma
埼玉県,Saitama
千葉県,Chiba
東京都,Tokyo
神奈川県,Kanagawa
新潟県,Niigata
富山県,Toyama
石川県,Ishikawa
福井県,Fukui
山梨県,Yamanashi
長野県,Nagano
岐阜県,Gifu
静岡県,Shizuoka
愛知県,Aichi
三重県,Mie
滋賀県,Shiga
京都府,Kyoto
大阪府,Osaka
兵庫県,Hyogo
奈良県,Nara
和歌山県,Wakayama
鳥取県,Tottori
島根県,Shimane
岡山県,Okayama
広島県,Hiroshima
山口県,Yamaguchi
徳島県,Tokushima
香川県,Kagawa
愛媛県,Ehime
高知県,Kochi
福岡県,Fukuoka
佐賀県,Saga
長崎県,Nagasaki
熊本県,Kumamoto
大分県,Oita
宮崎県,Miyazaki
鹿児島県,Kagoshima
沖縄県,Okinawa
センター名,Provider
IP電話,Contact (VoIP)
電話番号,Phone
対応時間,Hours of operation
平日,Weekdays
土日,Weekends
土曜日,Saturday
祝日,Holidays
毎日,Every day
24時間,24 hours
時間外の緊急対応あり,Emergencies only after hours
対応言語,Supported languages
中国語,Chinese
ベトナム語,Vietnamese
タガログ語,Tagalog
ポルトガル語,Portuguese
スペイン語,Spanish
ネパール語,Nepali
タイ語,Thai
シンハラ語,Sinhala
タミル語,Tamil
インドネシア語,Indonesia
韓国語,Korean
英語,English
英語,EN
最終更新日,Last updated
やさしい日本語,Simple Japanese
日本語,Japanese
日本語,JP
フランス語,French
カンボジア語,Cambodian
ミャンマー語,Myanmarese
